countryCode,countryName,maxPostalCode,minPostalCode,numPostalCodes
AD,Andorra,AD700,AD100,7
AR,Argentina,9431,1601,20260
AS,American Samoa,96799,96799,1
AT,Austria,9992,1010,19055
AU,Australia,9944,0200,16875
AX,Åland,22999,22100,40
BD,Bangladesh,9461,1000,1323
BE,Belgium,9992,1000,3386
BG,Bulgaria,9974,1000,5304
BR,Brazil,99990-000,01000-000,5525
CA,Canada,Y1A,A0A,1640
CH,Switzerland,9658,1000,4577
CZ,Czech Republic,798 62,100 00,15507
DE,Germany,99998,01067,16480
DK,Denmark,9990,1000,1422
DO,Dominican Republic,11906,10101,544
DZ,Algeria,48073,01000,15951
ES,Spain,52080,01001,37866
FI,Finland,99999,00002,4597
FO,Faroe Islands,970,100,130
FR,France,98799,01000,51131
GB,United Kingdom,ZE3 9JZ,AB10,1714266
GF,French Guiana,97399 CEDEX,97300,77
GG,Guernsey,GY9,GY1,8
GL,Greenland,3992,2412,33
GP,Guadeloupe,97199 CEDEX,97001 CEDEX,105
GR,Greece,859 00,104 31,865
GT,Guatemala,22027,01001,548
GU,Guam,96932,96910,23
HR,Croatia,53296,10000,6943
HU,Hungary,9985,1011,4041
IM,Isle of Man,IM9,IM1,87
IN,India,855117,110001,154809
IS,Iceland,902,101,147
IT,Italy,98168,00010,17980
JE,Jersey,JE3,JE1,4
JP,Japan,999-8531,100-0001,94388
LI,Liechtenstein,9498,9485,13
LK,Sri Lanka,96167,00100,1837
LT,Lithuania,99069,00001,20558
LU,Luxembourg,L-9999,L-1009,4334
MC,Monaco,98000,98000,29
MD,Moldova,MD-7731,MD-2000,1753
MH,Marshall Islands,96970,96960,2
MK,Macedonia,7550,1000,220
MP,Northern Mariana Islands,96952,96950,4
MQ,Martinique,97299 CEDEX,97200,100
MX,Mexico,99998,01000,75203
MY,Malaysia,98859,01000,2818
NL,Netherlands,9999,1000,5314
NO,Norway,9991,0001,4574
NZ,New Zealand,9893,0110,1737
PH,Philippines,9811,0400,2231
PK,Pakistan,97320,10010,11844
PL,Poland,99-440,00-001,21980
PM,Saint Pierre and Miquelon,97500,97500,2
PR,Puerto Rico,00988,00601,177
PT,Portugal,9980-999,1000-001,204001
RE,Réunion,97899 CEDEX,97400,152
RO,Romania,927250,000127,13695
RU,Russia,901993,101000,43538
SE,Sweden,984 99,100 05,16079
SI,Slovenia,9600,1000,556
SJ,Svalbard and Jan Mayen,9178,8099,8
SK,Slovakia,992 01,010 01,4231
SM,San Marino,47899,47890,26
TH,Thailand,96220,10100,902
TR,Turkey,99970,01010,36307
US,United States,99950,00210,43631
VA,Vatican City,00120,00120,1
VI,U.S. Virgin Islands,00851,00801,16
YT,Mayotte,97680,97600,14
ZA,South Africa,9992,0002,3920
